#     Num.     of     WP                    
     770                              
#     ID     WP_x[m]     WP_y[m]     Velocity[m/s]     CUT_Flag[1:down:2:up]     area_type     gain_id
#     真中のレーン                              
     250     -46453.3379     -14710.9297     2.1135     0     0     0
     251     -46451.2994     -14711.3143     2.044     0     0     0
     252     -46449.2813     -14711.7383     2.1101     0     0     0
     253     -46447.2188     -14712.197     2.097     0     0     0
     254     -46445.1551     -14712.6013     2.1696     0     0     0
     255     -46443.1805     -14713.047     2.0297     0     0     0
     256     -46440.8778     -14713.6065     1     0     0     0
     257     -46438.7303     -14714.1126     0.7     2     0     0
                                   
#####     ８回目の切り返し（左手前）     #####                         
     258     -46436.8174     -14714.9488     0.5     0     0     1
     259     -46435.5377     -14716.5418     0.5     0     0     1
     260     -46435.4055     -14718.6474     0.5     0     0     1
     261     -46435.5325     -14719.0883     0.4     0     0     1
     262     -46434.6517     -14717.0673     -0.4     0     0     1
     263     -46433.594     -14715.348     -0.5     0     0     1
     264     -46433.6068     -14715.3427     0.4     0     0     1
     265     -46435.3191     -14716.6795     0.4     0     0     1
     266     -46437.3456     -14716.6886     0.5     0     0     1
     267     -46439.3161     -14716.2064     0.5     0     0     1
     268     -46441.6023     -14715.7416     0.7     1     0     1
                                   
#####     ８回本目のレーン（一番左）     #####                         
     269     -46443.6784     -14715.2983     2.182     0     0     0
     270     -46445.7549     -14714.8131     2.1355     0     0     0
     271     -46447.7983     -14714.3732     2.0885     0     0     0
     272     -46449.8243     -14714.0208     2.0165     0     0     0
     273     -46451.7874     -14713.6363     1.9846     2     0     0
                                   
#####     右側へ移動     #####                         
     274     -46454.0389     -14713.2215     2.01     0     0     0
     275     -46456.0291     -14712.55     2.1359     0     0     0
     276     -46457.9783     -14711.4553     2.1866     0     0     0
     277     -46459.8392     -14710.0845     2.2368     0     0     0
     278     -46461.6669     -14708.7299     2.4079     0     0     0
     279     -46463.696     -14707.6156     2.3133     0     0     0
     280     -46465.7905     -14706.6541     2.3138     0     0     0
     281     -46467.93     -14705.7758     2.3714     0     0     0
     282     -46470.0577     -14705.0018     2.1572     0     0     0
     283     -46472.2247     -14704.2062     2.4051     0     0     0
     284     -46474.3147     -14703.4214     2.0728     0     0     0
     285     -46476.3844     -14702.6262     2.2848     0     0     0
     286     -46478.3876     -14701.8149     2.1624     0     0     0
     287     -46480.4475     -14700.9041     2.2498     0     0     0
     288     -46482.4672     -14700.0445     2.2369     0     0     0
     289     -46484.6065     -14699.1456     2.4435     0     0     0
     290     -46486.794     -14698.1554     2.4569     0     0     0
     291     -46488.8981     -14696.9632     2.3847     0     0     0
     292     -46490.631     -14695.7475     1.7258     0     0     0
     293     -46492.3187     -14694.1839     2.0434     0     0     0
     294     -46493.562     -14692.3574     2.1878     0     0     0
                                   
#####     １回目の切り返し（右）     #####                         
     295     -46494.4328     -14690.2535     1     0     0     1
     296     -46494.4471     -14688.2248     0.7     0     0     1
     297     -46493.6738     -14686.104     0.5     0     0     1
     298     -46491.9784     -14684.6806     0.5     0     0     1
     299     -46490.5447     -14684.4588     0.4     0     0     1
     300     -46492.7476     -14684.2798     -0.4     0     0     1
     301     -46494.7993     -14683.9738     -0.5     0     0     1
     302     -46496.1654     -14683.7422     -0.2758     0     0     1
     303     -46494.1203     -14684.0812     0.4     0     0     1
     304     -46492.0209     -14684.494     0.5     0     0     1
     305     -46489.9639     -14684.8562     0.5     1     0     1
                                   
#####     １回本目のレーン（右）     #####                         
     306     -46487.8575     -14685.3448     2.329     0     0     0
     307     -46485.7612     -14685.7418     2.2136     0     0     0
     308     -46483.544     -14686.2515     1.9243     0     0     0
     309     -46481.5058     -14686.6236     2.1695     0     0     0
     310     -46479.2065     -14687.0151     2.378     0     0     0
     311     -46476.9378     -14687.4385     2.3579     0     0     0
     312     -46474.6585     -14687.8865     2.2491     0     0     0
     313     -46472.4112     -14688.3271     2.176     0     0     0
     314     -46470.1204     -14688.7496     2.3229     0     0     0
     315     -46467.8664     -14689.1944     2.3849     0     0     0
     316     -46465.6322     -14689.5678     2.4637     0     0     0
     317     -46463.6023     -14689.9792     2.1674     0     0     0
     318     -46461.4843     -14690.4348     2.1009     0     0     0
     319     -46459.3663     -14690.8726     2.1567     0     0     0
     320     -46457.2033     -14691.296     2.2809     0     0     0
     321     -46455.0907     -14691.7071     2.1958     0     0     0
     322     -46453.0901     -14692.1685     1     0     0     0
     323     -46450.8644     -14692.6158     0.7     0     0     0
     324     -46448.7171     -14692.9937     0.5     2     0     0
                                   
#####     ２回目の切り返し（右手前）     #####                         
     325     -46446.5085     -14693.1947     0.5     0     0     1
     326     -46444.7746     -14692.1793     0.5     0     0     1
     327     -46444.4544     -14691.216     0.4     0     0     1
     328     -46444.4986     -14693.3467     -0.4     0     0     1
     329     -46444.5182     -14693.9351     -0.6131     0     0     1
     330     -46445.1501     -14691.952     0.4     0     0     1
     331     -46446.9601     -14690.9933     0.2782     0     0     1
     332     -46449.1326     -14690.652     0.5     0     0     1
     333     -46451.1084     -14690.275     0.5     1     0     1
                                   
#####     ２回本目のレーン（右）     #####                         
     334     -46453.4111     -14689.8316     2.0442     0     0     0
     335     -46455.5087     -14689.4004     2.1048     0     0     0
     336     -46457.5275     -14688.9811     1.9532     0     0     0
     337     -46459.5347     -14688.5883     2.0572     0     0     0
     338     -46461.782     -14688.1039     1.8928     0     0     0
     339     -46463.908     -14687.397     1.5868     0     0     0
     340     -46465.9634     -14687.1434     1.1168     0     0     0
     341     -46467.9767     -14686.7788     2.0168     0     0     0
     342     -46470.1318     -14686.4548     2.2625     0     0     0
     343     -46472.2458     -14686.0291     2.1839     0     0     0
     344     -46474.3821     -14685.666     2.2224     0     0     0
     345     -46476.4254     -14685.2817     2.0595     0     0     0
     346     -46478.5152     -14684.9013     2.2047     0     0     0
     347     -46480.6673     -14684.4609     2.2189     0     0     0
     348     -46482.9338     -14684.1076     2.1602     0     0     0
     349     -46485.272     -14683.7024     2     0     0     0
     350     -46487.2206     -14683.2333     2.0555     0     0     0
     351     -46489.2302     -14682.8133     1.9614     0     0     0
     352     -46491.561     -14682.3735     1.9323     0     0     0
     353     -46493.794     -14681.8873     1     0     0     0
     354     -46495.9965     -14681.3759     0.7     2     0     0
                                   
#####     ３回目の切り返し（右奥）     #####                         
     355     -46497.2065     -14681.0952     0.4     0     0     1
     356     -46495.2712     -14681.8044     -0.4     0     0     1
     357     -46493.7292     -14683.3438     -1.3771     0     0     1
     358     -46493.3263     -14684.1546     -0.5     0     0     1
     359     -46493.6897     -14682.1394     0.4     0     0     1
     360     -46493.1165     -14680.0958     0.5     0     0     1
     361     -46491.1435     -14679.0944     0.5     0     0     1
     362     -46490.9437     -14679.0866     0.4     0     0     1
     363     -46493.0136     -14679.3138     -0.4     0     0     1
     364     -46495.0491     -14679.3356     -0.8051     0     0     1
     365     -46495.3167     -14679.335     0.4     0     0     1
     366     -46493.1819     -14679.688     0.5     0     0     1
     367     -46491.1988     -14680.0798     0.5     0     0     1
     368     -46488.8502     -14680.6155     0.5     1     0     1
                                   
#####     ３回本目のレーン（右）     #####                         
     369     -46486.8029     -14681.0146     2.1666     0     0     0
     370     -46484.8148     -14681.4298     1.9115     0     0     0
     371     -46482.4838     -14681.8219     2.1896     0     0     0
     372     -46480.2721     -14682.2184     2.2267     0     0     0
     373     -46478.0114     -14682.6522     2.2568     0     0     0
     374     -46475.7467     -14683.103     2.2393     0     0     0
     375     -46473.5154     -14683.5496     2.1926     0     0     0
     376     -46471.3984     -14684.0126     2.2642     0     0     0
     377     -46469.2043     -14684.342     2.3458     0     0     0
     378     -46467.0649     -14684.7338     2.1449     0     0     0
     379     -46464.9843     -14685.1241     2.2176     0     0     0
     380     -46462.9213     -14685.5494     1.2083     0     0     0
     381     -46460.8416     -14685.9403     2.0186     0     0     0
     382     -46458.8063     -14686.3639     2.1318     0     0     0
     383     -46456.7388     -14686.7658     2.187     0     0     0
     384     -46454.377     -14687.2272     2.0783     0     0     0
     385     -46452.0682     -14687.6787     1.8666     0     0     0
     386     -46449.9022     -14688.1744     1.8174     0     0     0
     387     -46447.9114     -14688.5722     0.7     2     0     0
                                   
#####     ４回目の切り返し（右手前）     #####                         
     388     -46445.528     -14689.0323     0.5     0     0     1
     389     -46443.4337     -14689.1681     0.5     0     0     1
     390     -46441.6492     -14688.2303     0.4     0     0     1
     391     -46441.7724     -14688.4087     -0.4     0     0     1
     392     -46443.0316     -14690.1133     -1.2769     0     0     1
     393     -46443.6649     -14691.3657     -0.5     0     0     1
     394     -46443.3265     -14689.1064     0.4     0     0     1
     395     -46444.58     -14687.2584     0.5     0     0     1
     396     -46446.6213     -14686.5918     0.5     0     0     1
     397     -46448.6075     -14686.2029     0.5     0     0     1
     398     -46450.5701     -14685.7764     0.7     1     0     1
                                   
#####     ４回本目のレーン（右）     #####                         
     399     -46452.854     -14685.3069     2.0236     0     0     0
     400     -46454.8841     -14684.912     2.0543     0     0     0
     401     -46456.9728     -14684.5137     2.1486     0     0     0
     402     -46459.0243     -14684.0829     2.1619     0     0     0
     403     -46461.135     -14683.6918     2.179     0     0     0
     404     -46463.2589     -14683.2686     2.062     0     0     0
     405     -46465.604     -14682.8595     1.9763     0     0     0
     406     -46467.6809     -14682.4265     2.0987     0     0     0
     407     -46469.7664     -14682.0038     2.0562     0     0     0
