# Num. of WP    
3818
# ID WP-x[m] WP-y [m] Velocity [m/s]- CUT-Flag 1:down:2:up- area-type gain-id    
#真中のレーン  
 359  -46449.8039  -14699.8858 1.8 0 0 0
 360  -46450.1507  -14699.7598 1.8 0 0 0
 361  -46450.5124  -14699.6739 1.8 0 0 0
 362  -46450.8953  -14699.5843 1.9 0 0 0
 363  -46451.3031  -14699.4763 2.1 0 0 0
 364  -46451.6745  -14699.3815 1.9 0 0 0
 365  -46452.0623  -14699.2752 2 0 0 0
 366  -46452.4372  -14699.195 1.9 0 0 0
 367  -46452.8381  -14699.1199 2 0 0 0
 368  -46453.2451  -14699.0303 2 0 0 0
 369  -46453.6253  -14698.9274 1.9 0 0 0
 370  -46453.9905  -14698.8571 1.8 0 0 0
 371  -46454.4104  -14698.7615 2.1 0 0 0
 372  -46454.8083  -14698.6839 2 0 0 0
 373  -46455.1898  -14698.6063 1.9 0 0 0
 374  -46455.6023  -14698.5354 2 0 0 0
 375  -46456.0325  -14698.4584 2.1 0 0 0
 376  -46456.4292  -14698.39 2 0 0 0
 377  -46456.8189  -14698.319 1.9 0 0 0
 378  -46457.223  -14698.2262 2 0 0 0
 379  -46457.6328  -14698.1407 2 0 0 0
 380  -46458.0358  -14698.0443 2 0 0 0
 381  -46458.4387  -14697.9885 2 0 0 0
 382  -46458.8561  -14697.9013 2.1 0 0 0
 383  -46459.2525  -14697.82 2 0 0 0
 384  -46459.6576  -14697.7379 2 0 0 0
 385  -46460.0644  -14697.6557 2 0 0 0
 386  -46460.4655  -14697.5657 2 0 0 0
 387  -46461.3263  -14697.3883 2.1 0 0 0
 388  -46461.7123  -14697.3018 1.9 0 0 0
 389  -46462.1172  -14697.2336 2 0 0 0
 390  -46462.5307  -14697.1431 2.1 0 0 0
 391  -46462.942  -14697.0383 2.1 0 0 0
 392  -46463.335  -14696.9497 2 0 0 0
 393  -46463.7587  -14696.8791 2.1 0 0 0
 394  -46464.1564  -14696.7895 2 0 0 0
 395  -46464.5759  -14696.6752 2.1 0 0 0
 396  -46464.9814  -14696.5896 2 0 0 0
 397  -46465.3973  -14696.4869 2.1 0 0 0
 398  -46465.815  -14696.4153 2.1 0 0 0
 399  -46466.2274  -14696.3166 2.1 0 0 0
 400  -46466.6233  -14696.2254 2 0 0 0
 401  -46467.0468  -14696.1211 2.1 0 0 0
 402  -46467.4388  -14696.057 1.9 0 0 0
 403  -46467.8398  -14695.979 2 0 0 0
 404  -46468.2363  -14695.9202 2 0 0 0
 405  -46468.6423  -14695.8388 2 0 0 0
 406  -46469.0806  -14695.7499 2.2 0 0 0
 407  -46469.5164  -14695.6648 2.2 0 0 0
 408  -46469.9312  -14695.5816 2.1 0 0 0
 409  -46470.3533  -14695.4834 2.1 0 0 0
 410  -46470.7794  -14695.3911 2.1 0 0 0
 411  -46471.2024  -14695.3071 2.1 0 0 0
 412  -46471.6353  -14695.2233 2.2 0 0 0
 413  -46472.0409  -14695.1432 2 0 0 0
 414  -46472.4683  -14695.0585 2.1 0 0 0
 415  -46472.9163  -14694.9823 2.2 0 0 0
 416  -46473.3478  -14694.9042 2.1 0 0 0
 417  -46473.758  -14694.823 2 0 0 0
 418  -46474.1886  -14694.75 2.1 0 0 0
 419  -46474.5829  -14694.6851 1.9 0 0 0
 420  -46474.9987  -14694.5929 2.1 0 0 0
 421  -46475.4295  -14694.5033 2.2 0 0 0
 422  -46475.8408  -14694.4232 2 0 0 0
 423  -46476.2621  -14694.3313 2.1 0 0 0
 424  -46476.6846  -14694.2586 2.1 0 0 0
 425  -46477.1212  -14694.1788 2.2 0 0 0
 426  -46477.525  -14694.0786 2 0 0 0
 427  -46477.9193  -14694.0144 1.9 0 0 0
 428  -46478.3225  -14693.9465 2 0 0 0
 429  -46478.7329  -14693.866 2 0 0 0
 430  -46479.1491  -14693.7942 2.1 0 0 0
 431  -46479.5567  -14693.6973 2 0 0 0
 432  -46479.9515  -14693.6222 2 0 0 0
 433  -46480.3929  -14693.5503 2.2 0 0 0
 434  -46480.8261  -14693.4438 2.2 0 0 0
 435  -46481.2226  -14693.3644 2 0 0 0
 436  -46481.6486  -14693.274 2.1 0 0 0
 437  -46482.1028  -14693.2164 2.2 0 0 0
 438  -46482.5518  -14693.1538 2.2 0 0 0
 439  -46482.9971  -14693.039 2.2 0 0 0
 440  -46483.4246  -14692.9482 2.1 0 0 0
 441  -46483.8658  -14692.8826 2.2 0 0 0
 442  -46484.322  -14692.7763 2.3 0 0 0
 443  -46484.7881  -14692.675 2.3 0 0 0
 444  -46485.2241  -14692.5665 2.2 0 0 0
 445  -46485.6514  -14692.4636 2.1 0 0 0
 446  -46486.0436  -14692.3881 1.9 0 0 0
 447  -46486.4313  -14692.3245 1.9 0 0 0
